Date : 2025-07-27 17:51:36
Directory : d:\qtproject\FeiQ2
Total : 75 files,  4839 codes, 899 comments, 937 blanks, all 6675 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\qtproject\FeiQ2\code\mainwindow\settingswidget.h                | C++      |        168 |         32 |         50 |        250 |
| d:\qtproject\FeiQ2\code\mainwindow\sharefilemanagerwidget.cpp      | C++      |        127 |         19 |         20 |        166 |
| d:\qtproject\FeiQ2\code\mainwindow\sharefilemanagerwidget.h        | C++      |         46 |          2 |          9 |         57 |
| d:\qtproject\FeiQ2\code\networkModule\NetworkHelper.cpp            | C++      |         23 |          5 |          6 |         34 |
| d:\qtproject\FeiQ2\code\networkModule\NetworkHelper.h              | C++      |         27 |          7 |          4 |         38 |
| d:\qtproject\FeiQ2\code\networkModule\NetworkManager.cpp           | C++      |         45 |          3 |         10 |         58 |
| d:\qtproject\FeiQ2\code\networkModule\NetworkManager.h             | C++      |         25 |          9 |          5 |         39 |
| d:\qtproject\FeiQ2\code\networkModule\Socket.cpp                   | C++      |        410 |         75 |         46 |        531 |
| d:\qtproject\FeiQ2\code\networkModule\Socket.h                     | C++      |        146 |         29 |         24 |        199 |
| d:\qtproject\FeiQ2\code\systemInfoHelper\APIHelper.cpp             | C++      |         99 |          9 |         25 |        133 |
| d:\qtproject\FeiQ2\code\systemInfoHelper\APIHelper.h               | C++      |         18 |          6 |          3 |         27 |
| d:\qtproject\FeiQ2\code\systemInfoHelper\AdapterInfo.cpp           | C++      |        148 |         55 |         24 |        227 |
| d:\qtproject\FeiQ2\code\systemInfoHelper\AdapterInfo.h             | C++      |         76 |         14 |          7 |         97 |
| d:\qtproject\FeiQ2\code\systemInfoHelper\systemConfiguration.h     | C++      |          3 |          1 |          1 |          5 |
| d:\qtproject\FeiQ2\code\systemInfoHelper\userLocalInfo.cpp         | C++      |         23 |          4 |          5 |         32 |
| d:\qtproject\FeiQ2\code\systemInfoHelper\userLocalInfo.h           | C++      |         40 |          5 |          3 |         48 |
| d:\qtproject\FeiQ2\code\task\CurrentTask.h                         | C++      |        168 |         57 |         13 |        238 |
| d:\qtproject\FeiQ2\code\task\TaskDispatcher.cpp                    | C++      |         27 |          0 |          6 |         33 |
| d:\qtproject\FeiQ2\code\task\TaskDispatcher.h                      | C++      |         47 |         38 |         24 |        109 |
| d:\qtproject\FeiQ2\code\threadPool\ThreadPool.h                    | C++      |        322 |         37 |         57 |        416 |
| d:\qtproject\FeiQ2\setting\functionSetting.json                    | JSON     |         17 |          0 |          0 |         17 |
| d:\qtproject\FeiQ2\setting\personalInfo.json                       | JSON     |         12 |          0 |          0 |         12 |
| d:\qtproject\FeiQ2\setting\systemSetting.json                      | JSON     |          6 |          0 |          0 |          6 |
| d:\qtproject\FeiQ2\test\BoostAsio\CMakeLists.txt                   | CMake    |          0 |          0 |          1 |          1 |
| d:\qtproject\FeiQ2\test\BoostAsio\test.cpp                         | C++      |        125 |         13 |         17 |        155 |
| d:\qtproject\FeiQ2\test\BoostUdp\CMakeLists.txt                    | CMake    |          5 |          8 |          3 |         16 |
| d:\qtproject\FeiQ2\test\BoostUdp\test.cpp                          | C++      |         91 |          9 |         21 |        121 |
| d:\qtproject\FeiQ2\test\CMakeLists.txt                             | CMake    |         23 |          9 |          5 |         37 |
| d:\qtproject\FeiQ2\test\GetLocalName\test.cpp                      | C++      |         23 |          2 |          3 |         28 |
| d:\qtproject\FeiQ2\test\GetLocalNet\CMakeLists.txt                 | CMake    |          9 |          1 |          0 |         10 |
| d:\qtproject\FeiQ2\test\GetLocalNet\test.cpp                       | C++      |        150 |         54 |         19 |        223 |
| d:\qtproject\FeiQ2\test\OpenSSLtest\CMakeLists.txt                 | CMake    |         17 |          3 |          4 |         24 |
| d:\qtproject\FeiQ2\test\OpenSSLtest\test.cpp                       | C++      |        122 |         26 |         33 |        181 |
| d:\qtproject\FeiQ2\test\OpenSSLtest\说明.md                          | Markdown |         52 |          0 |         44 |         96 |
| d:\qtproject\FeiQ2\test\SqlLite\CMakeLists.txt                     | CMake    |          6 |          1 |          3 |         10 |
| d:\qtproject\FeiQ2\test\SqlLite\test.cpp                           | C++      |          6 |          0 |          3 |          9 |
| d:\qtproject\FeiQ2\test\boostFilesystem\main.cpp                   | C++      |          0 |          0 |          1 |          1 |
| d:\qtproject\FeiQ2\test\front\CMakeLists.txt                       | CMake    |         15 |          3 |          2 |         20 |
| d:\qtproject\FeiQ2\test\jsonCpp\CMakeLists.txt                     | CMake    |         11 |          3 |          3 |         17 |
| d:\qtproject\FeiQ2\test\jsonCpp\test.cpp                           | C++      |         53 |          4 |         11 |         68 |
| d:\qtproject\FeiQ2\test\jsonCpp\test_json.json                     | JSON     |         13 |          0 |          0 |         13 |
| d:\qtproject\FeiQ2\test\zlib\CMakeLists.txt                        | CMake    |         19 |          1 |          7 |         27 |
| d:\qtproject\FeiQ2\test\zlib\test.cpp                              | C++      |         71 |          7 |         16 |         94 |
| Total                                                              |          |      4,839 |        899 |        937 |      6,675 |
+--------------------------------------------------------------------+----------+------------+------------+------------+------------+
